SARAMPO e RUBÉOLA - Casos notificados no Sistema de Informação de Agravos de Notificação - Santa Catarina
casos notificados por Município de residência e Mês de início do exantema
Período:2018-2025
"Município de residência";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"421250 PENHA";-;-;-;1;1;-;-;-;-;3;2;-;-;7
"421260 PERITIBA";-;-;-;-;-;-;-;-;-;-;-;4;-;4
"421265 PESCARIA BRAVA";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421270 PETROLANDIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421280 BALNEARIO PICARRAS";-;1;-;2;1;-;-;-;2;-;-;3;-;9
"421290 PINHALZINHO";-;-;-;-;1;-;1;-;2;2;-;1;-;7
"421300 PINHEIRO PRETO";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421310 PIRATUBA";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"421315 PLANALTO ALEGRE";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421320 POMERODE";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"421330 PONTE ALTA";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421335 PONTE ALTA DO NORTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421340 PONTE SERRADA";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421350 PORTO BELO";-;-;1;2;-;-;-;-;-;1;-;2;-;6
"421360 PORTO UNIAO";-;9;-;-;2;-;-;-;1;1;-;13;1;27
"421370 POUSO REDONDO";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421380 PRAIA GRANDE";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421390 PRESIDENTE CASTELLO BRANCO";-;-;-;-;-;-;-;-;-;-;-;2;-;2
"421400 PRESIDENTE GETULIO";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"421410 PRESIDENTE NEREU";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421415 PRINCESA";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"421420 QUILOMBO";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"421430 RANCHO QUEIMADO";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421440 RIO DAS ANTAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421450 RIO DO CAMPO";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421460 RIO DO OESTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421470 RIO DOS CEDROS";-;1;-;-;-;-;-;-;-;-;-;1;1;3
"421480 RIO DO SUL";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"421490 RIO FORTUNA";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421500 RIO NEGRINHO";-;-;-;-;-;-;-;-;2;-;-;3;3;8
"421505 RIO RUFINO";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421507 RIQUEZA";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421510 RODEIO";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"421520 ROMELANDIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421530 SALETE";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421535 SALTINHO";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421540 SALTO VELOSO";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421545 SANGAO";-;-;-;-;-;-;-;1;-;-;1;-;-;2
"421550 SANTA CECILIA";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"421555 SANTA HELENA";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421560 SANTA ROSA DE LIMA";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"421565 SANTA ROSA DO SUL";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"421567 SANTA TEREZINHA";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421568 SANTA TEREZINHA DO PROGRESSO";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421569 SANTIAGO DO SUL";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421570 SANTO AMARO DA IMPERATRIZ";-;-;2;6;-;1;-;-;2;-;-;2;1;14
"421575 SAO BERNARDINO";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421580 SAO BENTO DO SUL";-;-;1;1;-;1;-;2;4;3;10;5;-;27
"421590 SAO BONIFACIO";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421600 SAO CARLOS";-;1;-;1;-;-;-;1;-;1;-;-;-;4
"421605 SAO CRISTOVAO DO SUL";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"421610 SAO DOMINGOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421620 SAO FRANCISCO DO SUL";-;1;-;1;2;-;-;-;-;-;-;6;1;11
"421625 SAO JOAO DO OESTE";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"421630 SAO JOAO BATISTA";-;-;1;-;-;1;1;-;-;1;1;-;3;8
"421635 SAO JOAO DO ITAPERIU";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421640 SAO JOAO DO SUL";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421650 SAO JOAQUIM";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421660 SAO JOSE";2;5;13;10;2;-;2;3;3;6;9;5;2;62
"421670 SAO JOSE DO CEDRO";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421680 SAO JOSE DO CERRITO";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421690 SAO LOURENCO DO OESTE";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"421700 SAO LUDGERO";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421710 SAO MARTINHO";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"421715 SAO MIGUEL DA BOA VISTA";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421720 SAO MIGUEL DO OESTE";-;1;-;-;2;2;1;1;-;2;1;1;1;12
"421725 SAO PEDRO DE ALCANTARA";1;-;-;1;-;-;-;-;-;-;-;-;-;2
"421730 SAUDADES";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421740 SCHROEDER";-;4;1;1;1;-;1;-;1;2;4;8;1;24
"421750 SEARA";-;-;1;1;-;-;-;-;-;1;-;4;-;7
"421755 SERRA ALTA";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421760 SIDEROPOLIS";-;-;-;-;-;-;1;-;1;1;1;-;-;4
"421770 SOMBRIO";-;-;1;-;-;2;-;1;-;-;-;1;-;5
"421775 SUL BRASIL";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421780 TAIO";-;-;-;-;-;1;-;-;-;1;-;-;-;2
"421790 TANGARA";-;-;-;-;1;-;-;1;-;-;-;-;-;2
"421795 TIGRINHOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421800 TIJUCAS";-;-;1;-;-;-;-;1;-;-;-;2;-;4
"421810 TIMBE DO SUL";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421820 TIMBO";-;-;-;3;1;1;1;1;-;1;1;-;-;9
"421825 TIMBO GRANDE";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421830 TRES BARRAS";-;1;-;-;-;-;1;-;-;-;-;-;1;3
"421835 TREVISO";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421840 TREZE DE MAIO";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"421850 TREZE TILIAS";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"421860 TROMBUDO CENTRAL";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421870 TUBARAO";-;2;1;2;3;-;1;5;4;7;3;2;2;32
"421875 TUNAPOLIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421880 TURVO";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421885 UNIAO DO OESTE";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"421890 URUBICI";-;-;-;-;-;1;-;-;1;-;-;-;-;2
"421895 URUPEMA";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421900 URUSSANGA";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"421910 VARGEAO";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421915 VARGEM";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421917 VARGEM BONITA";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"421920 VIDAL RAMOS";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"421930 VIDEIRA";-;-;1;2;-;-;-;-;1;-;1;-;1;6
"421935 VITOR MEIRELES";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421940 WITMARSUM";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421950 XANXERE";-;-;-;-;-;-;-;1;1;-;-;-;-;2
"421960 XAVANTINA";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"421970 XAXIM";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"421985 ZORTEA";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"422000 BALNEARIO RINCAO";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"Total";11;98;171;152;80;72;63;112;166;171;204;414;143;1857
 Fonte: Ministério da Saúde/SVSA - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos;
 Para tabular dados epidemiológicos de um determinado ano selecione na linha a variável de interesse, na Coluna Ano de início do exantema;
 em Períodos Disponíveis assinale o ano inicial da série e todos os posteriores até o ano atual (p/ incluir casos notificados com atraso)
 e em Seleções Disponíveis assinale os anos de início do exantema (ex: nº de casos com início do exantema 2007: selecione na linha UF de residência,
 na Coluna Ano de início do exantema, em Períodos disponíveis 2007 até o ano atual e em Seleções assinale Ano de início do exantema 2007);
 Para cálculo da incidência selecione sarampo ou rubéola em Classificação final e analise por local de residência;
 Banco de dados, reportam dados não qualificados, ou seja, não foram retiradas inconsistências e nem duplicidades;
 O último caso confirmado de Rubéola confirmado no Brasil, ocorreu no ano de 2008;
 Do número de casos confirmados de sarampo no Brasil, segue: - Em 2015 – foram confirmados 214 casos, sendo: CE (211), SP (02) e RR (01);
 - Nos anos de 2016 e 2017, o Brasil não confirmou casos de sarampo;
 - No ano de 2018 – foram confirmados 9.329 casos, sendo: AM (8.789), RR (368), PA (84), RS (47), RJ (20), PE (4), SE (4), BA (3), SP (7), RO (2) e DF (1);
 Os genótipos identificados foram o D8 e 1B3; - Em 2019 – foram confirmados 21.741 casos, sendo: SP (18.086), PR (1.599), RJ (463), PA (429), PE (344), SC (297),
 MG (158), RS (100), BA (80), PB (66), AL (35), CE (19), GO (15), DF (11), RN (9), MA (8), SE (6), AM (4), ES (4), PI (3), MS (2), AP (2) e RR (1).
 O genótipo identificado foi o D8. No ano de 2020 – foram confirmados 8.035 casos, sendo: PA (4.844), RJ (1.358), SP (879), PR (377), AP (296), SC (107), PE (38),
 RS (37), MG (22), MA (17), MS (10), DF (8), SE (8), AM (7), BA (7), CE (7), RO (6), GO (2), AL (3), MT (1), TO (1). O genótipo identificado foi o D8; - Em 2021
 – foram confirmados 670 casos, sendo: AP (534), PA (111), AL (11), SP (8), RJ (3) e CE (3); O genótipo identificado foi o D8. - No ano de 2022 – foram confirmados 41 casos,
